   Frequency       O5aStrain        O5bStrain       O5cStrain
   4.6582200e+00   7.8638933e-19   3.9319468e-19   1.5727800e-19
   4.6625200e+00   7.9024531e-19   3.9512267e-19   1.5804920e-19
   4.6668300e+00   7.9410686e-19   3.9705345e-19   1.5882151e-19
   4.6711400e+00   7.9797002e-19   3.9898503e-19   1.5959414e-19
   4.6754500e+00   8.0183608e-19   4.0091806e-19   1.6036735e-19
   4.6797700e+00   8.0570498e-19   4.0285251e-19   1.6114113e-19
   4.6841000e+00   8.0957822e-19   4.0478912e-19   1.6191577e-19
   4.6884200e+00   8.1345536e-19   4.0672769e-19   1.6269120e-19
   4.6927500e+00   8.1733565e-19   4.0866784e-19   1.6346726e-19
   4.6970900e+00   8.2122429e-19   4.1061216e-19   1.6424498e-19
   4.7014300e+00   8.2511252e-19   4.1255627e-19   1.6502263e-19
   4.7057700e+00   8.2900489e-19   4.1450246e-19   1.6580110e-19
   4.7101200e+00   8.3290017e-19   4.1645010e-19   1.6658016e-19
   4.7144700e+00   8.3679898e-19   4.1839950e-19   1.6735992e-19
   4.7188200e+00   8.4070142e-19   4.2035073e-19   1.6814041e-19
   4.7231800e+00   8.4460779e-19   4.2230391e-19   1.6892168e-19
   4.7275400e+00   8.4851233e-19   4.2425618e-19   1.6970259e-19
   4.7319100e+00   8.5242675e-19   4.2621339e-19   1.7048547e-19
   4.7362800e+00   8.5634419e-19   4.2817211e-19   1.7126895e-19
   4.7406500e+00   8.6026477e-19   4.3013240e-19   1.7205307e-19
   4.7450300e+00   8.6466229e-19   4.3233116e-19   1.7293257e-19
   4.7494200e+00   8.6961291e-19   4.3480647e-19   1.7392270e-19
   4.7538000e+00   8.7511546e-19   4.3755775e-19   1.7502320e-19
   4.7581900e+00   8.8116904e-19   4.4058453e-19   1.7623392e-19
   4.7625900e+00   8.8777774e-19   4.4388888e-19   1.7755566e-19
   4.7669900e+00   8.9446537e-19   4.4723270e-19   1.7889318e-19
   4.7713900e+00   9.0115903e-19   4.5057953e-19   1.8023191e-19
   4.7758000e+00   9.0786022e-19   4.5393012e-19   1.8157215e-19
   4.7802100e+00   9.1456594e-19   4.5728298e-19   1.8291329e-19
   4.7846300e+00   9.2127777e-19   4.6063890e-19   1.8425566e-19
   4.7890500e+00   9.2799554e-19   4.6399778e-19   1.8559921e-19
   4.7934700e+00   9.3471825e-19   4.6735914e-19   1.8694375e-19
   4.7979000e+00   9.4144916e-19   4.7072459e-19   1.8828993e-19
   4.8023300e+00   9.4818601e-19   4.7409302e-19   1.8963730e-19
   4.8067600e+00   9.5492923e-19   4.7746463e-19   1.9098594e-19
   4.8112000e+00   9.6167923e-19   4.8083962e-19   1.9233594e-19
   4.8156500e+00   9.6843516e-19   4.8421759e-19   1.9368713e-19
   4.8201000e+00   9.7519721e-19   4.8759862e-19   1.9503954e-19
   4.8245500e+00   9.8196529e-19   4.9098266e-19   1.9639315e-19
   4.8290100e+00   9.8873931e-19   4.9436966e-19   1.9774795e-19
   4.8334700e+00   9.9552043e-19   4.9776023e-19   1.9910418e-19
   4.8379300e+00   1.0023077e-18   5.0115384e-19   2.0046162e-19
   4.8424000e+00   1.0091008e-18   5.0455043e-19   2.0182026e-19
   4.8468700e+00   1.0159010e-18   5.0795050e-19   2.0318028e-19
   4.8513500e+00   1.0227071e-18   5.1135357e-19   2.0454151e-19
   4.8558300e+00   1.0295194e-18   5.1475973e-19   2.0590398e-19
   4.8603200e+00   1.0363387e-18   5.1816934e-19   2.0726782e-19
